Epoch:1, Train Loss:1.3933241839350958, Vali Loss:1.2904687138002047, acc:0.39245947721962615, f1:0.25342611526677433
Epoch:2, Train Loss:1.4362063527589868, Vali Loss:1.333766142066283, acc:0.3768253504672897, f1:0.22312992528950296
Epoch:3, Train Loss:1.4149462993811017, Vali Loss:1.3308777424686193, acc:0.2765132155373832, f1:0.23304789759152036
Epoch:4, Train Loss:1.4270313916901345, Vali Loss:1.319271342107149, acc:0.4003358644859813, f1:0.2754597572013005
Epoch:5, Train Loss:1.42814887868248, Vali Loss:1.309180040923736, acc:0.3783403913551402, f1:0.2106963395034138
Epoch:6, Train Loss:1.4312536682677173, Vali Loss:1.307225574473494, acc:0.3794538551401869, f1:0.2228303793280822
Epoch:7, Train Loss:1.430825020137586, Vali Loss:1.2999516955107935, acc:0.3808228679906542, f1:0.22451145024352012
Epoch:8, Train Loss:1.4277653811431608, Vali Loss:1.353098484866857, acc:0.25821407710280375, f1:0.19193881475483218
Epoch:9, Train Loss:1.4240431407202594, Vali Loss:1.3267724549963966, acc:0.3996148510514019, f1:0.29108132097326495
Epoch:10, Train Loss:1.4164643479744916, Vali Loss:1.2978712848610225, acc:0.3977986273364486, f1:0.3040107962768674
Epoch:11, Train Loss:1.4107500522725496, Vali Loss:1.2869086367901406, acc:0.40158622955607476, f1:0.28390867652621965
Epoch:12, Train Loss:1.4040988883508845, Vali Loss:1.2905997286816484, acc:0.4054012120327103, f1:0.2961872164215469
