Epoch:1, Train Loss:1.3662322327675607, Vali Loss:1.2147481975312022, acc:0.43507228387850466, f1:0.4208619745761944
Epoch:2, Train Loss:1.32848485259392, Vali Loss:1.310269118738285, acc:0.3800288405373832, f1:0.3050487464122086
Epoch:3, Train Loss:1.633216493042857, Vali Loss:1.3093156684578986, acc:0.3746075496495327, f1:0.3087364058883665
Epoch:4, Train Loss:1.4216261699614736, Vali Loss:1.3338570550533568, acc:0.3787967289719626, f1:0.20813359774481485
Epoch:5, Train Loss:1.4376636680321173, Vali Loss:1.376288431979664, acc:0.3792439398364486, f1:0.2706332016661497
Epoch:6, Train Loss:1.464373657626179, Vali Loss:1.3530229155812628, acc:0.3783038843457944, f1:0.21736045355251912
Epoch:7, Train Loss:1.4435376236795896, Vali Loss:1.3229699983950833, acc:0.3777288989485981, f1:0.21869756402519647
Epoch:8, Train Loss:1.4359516225363078, Vali Loss:1.3584531360325294, acc:0.3455479702102804, f1:0.28599390801035823
Epoch:9, Train Loss:1.4364211562191427, Vali Loss:1.3196475334344497, acc:0.37960900992990654, f1:0.21631089225298747
Epoch:10, Train Loss:1.423771184127823, Vali Loss:1.3101907938096473, acc:0.3762047313084112, f1:0.2926165703874394
Epoch:11, Train Loss:1.418361880470384, Vali Loss:1.2927547413899008, acc:0.3787054614485981, f1:0.21327277370688072
Epoch:12, Train Loss:1.4163246863284091, Vali Loss:1.3070917082496696, acc:0.3785229264018692, f1:0.20877888944015627
