Epoch:1, Train Loss:1.3494526669797737, Vali Loss:1.1901649134341636, acc:0.41677314544392524, f1:0.31525329608651437
Epoch:2, Train Loss:1.3303060313987378, Vali Loss:1.307428746101751, acc:0.3778566734813084, f1:0.2242855341154037
Epoch:3, Train Loss:1.395812368260244, Vali Loss:1.3200942045574675, acc:0.37863244742990654, f1:0.2459790091130182
Epoch:4, Train Loss:1.4132338764937336, Vali Loss:1.3030585526313694, acc:0.37964551693925236, f1:0.21546361117610055
Epoch:5, Train Loss:1.4130058832646302, Vali Loss:1.3172625828785023, acc:0.37688923773364486, f1:0.21206589959836822
Epoch:6, Train Loss:1.4127821172102042, Vali Loss:1.3386471022585982, acc:0.31979227511682246, f1:0.24390758908214805
Epoch:7, Train Loss:1.413296430672697, Vali Loss:1.3061580508601638, acc:0.3771812938084112, f1:0.21235861536067263
Epoch:8, Train Loss:1.409909540381635, Vali Loss:1.312581278055284, acc:0.37827650408878505, f1:0.21190034211124803
Epoch:9, Train Loss:1.4081942558730909, Vali Loss:1.3282553477519625, acc:0.3755658586448598, f1:0.2219029741773054
Epoch:10, Train Loss:1.4079474144831217, Vali Loss:1.306410722555528, acc:0.37865982768691586, f1:0.20855762952324045
Epoch:11, Train Loss:1.4029780035337402, Vali Loss:1.3196151176350852, acc:0.37874196845794394, f1:0.2085432790118472
Epoch:12, Train Loss:1.3991668083672177, Vali Loss:1.333250841519119, acc:0.37909791179906543, f1:0.22814597188555794
Epoch:13, Train Loss:1.3959512449151288, Vali Loss:1.324076474680978, acc:0.378824109228972, f1:0.22549240010940974
Epoch:14, Train Loss:1.3922743728740317, Vali Loss:1.3185968399047852, acc:0.3808228679906542, f1:0.21935488152313853
Epoch:15, Train Loss:1.3886689268812842, Vali Loss:1.3093891049759017, acc:0.3796728971962617, f1:0.21628230690386424
Epoch:16, Train Loss:1.3858355880447133, Vali Loss:1.3246127801262308, acc:0.38051255841121495, f1:0.21728460783221215
Epoch:17, Train Loss:1.382832255522705, Vali Loss:1.3161327601032302, acc:0.38007447429906543, f1:0.2152995381085802
Epoch:18, Train Loss:1.3807914498564484, Vali Loss:1.3141427867097257, acc:0.3801931220794392, f1:0.21580579402485348
Epoch:19, Train Loss:1.3792642085140845, Vali Loss:1.316320547095031, acc:0.3798463054906542, f1:0.2146017833242436
Epoch:20, Train Loss:1.3786445549556188, Vali Loss:1.3146435304473558, acc:0.37989193925233644, f1:0.21555683807774292
