Epoch:1, Train Loss:0.6827180032385082, Vali Loss:0.4891611656429043, mse:0.44939276390648053, mae:0.49854896243696456
Epoch:2, Train Loss:2.101037228450262, Vali Loss:0.4614180453000655, mse:0.5016420976733179, mae:0.5446566474911209
Epoch:3, Train Loss:0.8036328427424457, Vali Loss:0.45305694943929214, mse:0.524123196818683, mae:0.5392186732214188
Epoch:4, Train Loss:0.7434357607961807, Vali Loss:0.45859002264912335, mse:0.5346641020422853, mae:0.5531318216871853
Epoch:5, Train Loss:0.7078351418803928, Vali Loss:0.4376229103092804, mse:0.5171757785529421, mae:0.5458593929064608
Epoch:6, Train Loss:0.7188342581321667, Vali Loss:0.4374471413978568, mse:0.5184618579833028, mae:0.5480877614849917
Epoch:7, Train Loss:0.7122085080739519, Vali Loss:0.46090361541634095, mse:0.5627472331142488, mae:0.5551325004095229
Epoch:8, Train Loss:0.7099561727445068, Vali Loss:0.43605720149806926, mse:0.5309386490974749, mae:0.545231586374412
Epoch:9, Train Loss:0.7152462643241174, Vali Loss:0.4436025924444752, mse:0.5416871529207434, mae:0.5536345708767109
Epoch:10, Train Loss:0.7044808607486271, Vali Loss:0.4396766015175047, mse:0.5517313144382995, mae:0.5500278520772112
Epoch:11, Train Loss:0.7005525967296289, Vali Loss:0.4359129468830445, mse:0.5300356989104091, mae:0.5443734228088756
Epoch:12, Train Loss:0.6982488323286424, Vali Loss:0.43776789352539797, mse:0.5291380202397704, mae:0.5457920757618463
Epoch:13, Train Loss:0.695608680544625, Vali Loss:0.4394072195355134, mse:0.5302718009268778, mae:0.5411213573903959
Epoch:14, Train Loss:0.6922127584137147, Vali Loss:0.43718170504282355, mse:0.5316753221902056, mae:0.5466688539415041
Epoch:15, Train Loss:0.6868178988100204, Vali Loss:0.43775083850680263, mse:0.5302477341806777, mae:0.5462203718652235
