Epoch:1, Train Loss:1.3561382844284675, Vali Loss:1.242551629891805, acc:0.3822283878504673, f1:0.24282991286382014
Epoch:2, Train Loss:1.3357701594465017, Vali Loss:1.2515971774014962, acc:0.4075094918224299, f1:0.30404136648113766
Epoch:3, Train Loss:1.3762771756452081, Vali Loss:1.3464487403838652, acc:0.3752281688084112, f1:0.21462058974626394
Epoch:4, Train Loss:1.3888591135742374, Vali Loss:1.3156229243754234, acc:0.3771082797897196, f1:0.2161570560577133
Epoch:5, Train Loss:1.3948204982888301, Vali Loss:1.3171926037064838, acc:0.3762047313084112, f1:0.2156679290973741
Epoch:6, Train Loss:1.3870118194389007, Vali Loss:1.3277304244428665, acc:0.37814872955607476, f1:0.24262940094217597
Epoch:7, Train Loss:1.3870272554286964, Vali Loss:1.3117500195093885, acc:0.3788879964953271, f1:0.20836281233633236
Epoch:8, Train Loss:1.386059947047376, Vali Loss:1.3158372068073245, acc:0.37367662091121495, f1:0.2147808527251463
Epoch:9, Train Loss:1.384708455074022, Vali Loss:1.316405048779711, acc:0.3788058557242991, f1:0.20815322846005077
Epoch:10, Train Loss:1.3837800159186178, Vali Loss:1.3189536169897376, acc:0.3793717143691589, f1:0.20992752436304132
Epoch:11, Train Loss:1.3813656165436408, Vali Loss:1.3180950083478145, acc:0.37865982768691586, f1:0.2082939522586447
Epoch:12, Train Loss:1.3790553100498784, Vali Loss:1.3185420677999333, acc:0.3786233206775701, f1:0.20923449988447101
Epoch:13, Train Loss:1.3765791193672139, Vali Loss:1.3225200212195412, acc:0.3790614047897196, f1:0.2092494073208323
Epoch:14, Train Loss:1.3745322596628762, Vali Loss:1.318801335281673, acc:0.3790522780373832, f1:0.21076768946880445
Epoch:15, Train Loss:1.3726412120309572, Vali Loss:1.3234178602280584, acc:0.37907053154205606, f1:0.2089637859684058
