Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,25.03337478637696,36.09000015258789,36.17499923706055,35.79499816894531,35.9900016784668,2374400,0.6961744455665804,0.0161114765598336,0.0060833106707602,-0.5987591190598991,-0.9718753344759604,-0.9473329290701874,-0.8393224608686822,1
2013-01-03,24.95707893371582,35.97999954223633,36.310001373291016,35.875,36.10499954223633,1158000,0.7030668083511525,0.0161114765598336,0.0060906144612098,-0.5861808942480109,-0.9711888031503124,-0.9473329290701874,-0.8349008754895035,1
2013-01-04,24.97095489501953,36.0,36.1349983215332,35.875,36.03499984741211,1803000,0.7472289663298269,0.0140574251358449,0.0062865586499958,-0.5055871169620455,-0.9527707194705456,-0.978946543963882,-0.812434793465491,1
2013-01-07,24.91893196105957,35.92499923706055,36.125,35.834999084472656,36.0099983215332,1499800,0.6374472318402415,0.0128393288772036,0.0057161616246049,-0.7059334103608677,-1.0063860892828826,-0.9976940911647004,-0.9033378636028168,0
2013-01-08,24.56863594055176,35.41999816894531,35.92499923706055,35.30500030517578,35.814998626708984,3246800,0.6236838338409997,0.0128393288772036,0.0056839744275192,-0.7310509382132123,-1.0094115757390745,-0.9976940911647004,-0.912718868372329,0
2013-01-09,24.75246238708496,35.685001373291016,35.790000915527344,35.46500015258789,35.53499984741211,2099600,0.6721032101514095,0.0128393288772036,0.0059526723688571,-0.6426879457939806,-0.9841548881138676,-0.9976940911647004,-0.8748456416908494,1
2013-01-10,24.92240333557129,35.93000030517578,36.084999084472656,35.790000915527344,35.82500076293945,1661600,0.7205463505492526,0.013804099046663,0.0066497779459939,-0.5542815850780517,-0.918629347739918,-0.9828454499661332,-0.8185854609280343,1
2013-01-11,24.911996841430664,35.915000915527344,36.07500076293945,35.68000030517578,36.04499816894531,2100200,0.7785437288546542,0.013804099046663,0.0072219511053384,-0.4484392077066251,-0.8648470274097496,-0.9828454499661332,-0.765377228360836,1
2013-01-14,25.05766868591309,36.125,36.2599983215332,35.85499954223633,35.93000030517578,1837400,0.7504941734720738,0.013804099046663,0.0072768602399704,-0.4996282737066533,-0.8596857565259252,-0.9828454499661332,-0.7807198267329039,1
2013-01-15,25.213727951049805,36.34999847412109,36.44499969482422,35.79499816894531,36.11000061035156,2205000,0.7458003192569669,0.013804099046663,0.0070800411015624,-0.5081943279607909,-0.8781860824781139,-0.9828454499661332,-0.7897419534683461,1
