Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,64.58385467529297,77.06999969482422,77.33000183105469,76.44999694824219,76.55000305175781,5036400,0.6324135458661153,0.0520013987666102,0.0150178804496299,-0.7151196409459337,-0.1320563286178139,-0.3949562134929165,-0.414044061018888,1
2013-01-03,64.91905975341797,77.47000122070312,77.9800033569336,76.37000274658203,76.98999786376953,3987000,0.6080185991435304,0.0520013987666102,0.015007380953198,-0.7596392249756002,-0.133043245377511,-0.3949562134929165,-0.4292128946153425,1
2013-01-04,65.1033935546875,77.69000244140625,78.0199966430664,77.44000244140625,77.79000091552734,3431700,0.3972694240748853,0.0446230393760487,0.0145737542544827,-1.1442461567040112,-0.1738026721928784,-0.5085154991058992,-0.6088547760009295,1
2013-01-07,63.7961311340332,76.12999725341797,77.69000244140625,75.33999633789062,77.54000091552734,7172600,0.1147985311903592,0.0446230393760487,0.0136965369909006,-1.6597417138254849,-0.2562580951686361,-0.5085154991058992,-0.8081717693666733,1
2013-01-08,62.12016296386719,74.12999725341797,75.80999755859375,73.11000061035156,75.23999786376953,20268100,0.1075781318306997,0.0446230393760487,0.0123567931837083,-1.6729185893348095,-0.3821894315517054,-0.5085154991058992,-0.8545411733308048,1
2013-01-09,64.32408905029297,76.76000213623047,76.80999755859375,74.91000366210938,74.91999816894531,10915800,0.0592725813384406,0.0446230393760487,0.0124351411414247,-1.7610738552058536,-0.3748249914511853,-0.5085154991058992,-0.881471448587646,1
2013-01-10,64.60060119628906,77.08999633789062,77.12000274658203,76.16000366210938,76.93000030517578,5026600,0.2861498492726617,0.0427607519568724,0.0121798499848005,-1.3470339432076996,-0.398821487160197,-0.5371777013290973,-0.7610110438989979,1
2013-01-11,62.98328399658203,75.16000366210938,76.0999984741211,74.5999984741211,75.70999908447266,9808500,0.3388955419404618,0.0427607519568724,0.0117734517980909,-1.250775635139615,-0.4370215269597839,-0.5371777013290973,-0.7416582878094987,1
2013-01-14,64.14807891845703,76.55000305175781,76.58999633789062,74.9000015258789,75.2300033569336,6221100,0.4989931870413976,0.0427607519568724,0.0124782578124581,-0.9586052670270996,-0.3707721718191958,-0.5371777013290973,-0.6221850467251309,1
2013-01-15,64.47492218017578,76.94000244140625,76.9800033569336,76.18000030517578,76.20999908447266,3900600,0.4866281897259366,0.0297108908087739,0.0106896089195036,-0.981170782060696,-0.5388990511528705,-0.7380262681829148,-0.7526987004654937,1
2013-01-16,62.2961311340332,74.33999633789062,74.63999938964844,73.55999755859375,73.8499984741211,18212000,0.4588874765038904,0.0297108908087739,0.0105056573653069,-1.03179622623059,-0.5561898681921973,-0.7380262681829148,-0.7753374542019007,1
2013-01-17,63.06709289550781,75.26000213623047,75.62999725341797,72.68000030517578,72.77999877929688,21849200,0.4539193718933402,0.0297108908087739,0.0104995272286363,-1.0408627740362797,-0.5567660800761374,-0.7380262681829148,-0.7785517074317772,1
2013-01-18,62.88275146484375,75.04000091552734,75.16000366210938,74.29000091552734,75.16000366210938,10829000,0.5797944889344637,0.0297108908087739,0.0107755834252692,-0.8111468449923235,-0.5308177416160674,-0.7380262681829148,-0.6933302849304352,1
2013-01-22,62.14529800415039,74.16000366210938,74.2699966430664,73.7699966430664,74.12000274658203,9161900,0.5800328278935112,0.0297108908087739,0.0107895268181778,-0.8107118880549085,-0.5295071103645791,-0.7380262681829148,-0.6927484222008008,1
2013-01-23,62.25421905517578,74.29000091552734,74.58999633789062,73.44999694824219,73.98999786376953,7784900,0.6002803815957498,0.0297108908087739,0.0113859934405412,-0.7737610933394001,-0.4734412875864657,-0.7380262681829148,-0.6617428830362602,1
2013-01-24,63.11734771728516,75.31999969482422,75.54000091552734,74.41000366210938,74.41000366210938,7292200,0.6226320944750096,0.0297108908087739,0.0113146511584021,-0.7329703110904713,-0.4801472181398772,-0.7380262681829148,-0.650381265804421,1
2013-01-25,62.87433242797852,75.02999877929688,75.41999816894531,74.79000091552734,75.29000091552734,6163200,0.6125452152737804,0.0297108908087739,0.0113187857355583,-0.7513783720427206,-0.4797585820261189,-0.7380262681829148,-0.6563877407505847,1
2013-01-28,62.01122283935547,74.0,74.6500015258789,73.88999938964844,73.9000015258789,7759000,0.6141559147712506,0.0297108908087739,0.0113451726382804,-0.7484389242775905,-0.4772783034049637,-0.7380262681829148,-0.6545811652884896,1
2013-01-29,61.71792602539063,73.6500015258789,74.23999786376953,73.0,74.23999786376953,9296800,0.6550186841542855,0.0297108908087739,0.0112525911369573,-0.6738663697268281,-0.4859806479303714,-0.7380262681829148,-0.6326244286133714,1
2013-01-30,62.50563430786133,74.58999633789062,74.75,73.7300033569336,74.41999816894531,10048600,0.592551296990355,0.0297108908087739,0.010980553113703,-0.7878662945302563,-0.5115512918337137,-0.7380262681829148,-0.6791479515156282,1
2013-01-31,61.90227127075195,73.87000274658203,74.62000274658203,73.76000213623047,74.5,7639000,0.5305614667830619,0.0297108908087739,0.0112916060261444,-0.900994701256529,-0.4823133817651592,-0.7380262681829148,-0.7071114504015343,1
2013-02-01,62.74028396606445,74.87000274658203,75.06999969482422,74.2300033569336,74.48999786376953,6749300,0.6886210955567271,0.0297108908087739,0.0118706014776828,-0.6125436132132649,-0.4278897892988098,-0.7380262681829148,-0.5928198902316631,1
2013-02-04,63.02518081665039,75.20999908447266,75.52999877929688,74.25,74.29000091552734,5799800,0.6989343164258828,0.0297108908087739,0.0118401582185408,-0.5937224897928226,-0.4307513515520009,-0.7380262681829148,-0.5875000365092461,1
2013-02-05,63.59502410888672,75.88999938964844,76.9800033569336,75.61000061035156,75.69000244140625,6831200,0.6494802436241691,0.0297108908087739,0.0118916620861286,-0.6839737526769846,-0.425910164125413,-0.7380262681829148,-0.6159700616617708,1
2013-02-06,63.93022537231445,76.29000091552734,76.30000305175781,75.4000015258789,75.47000122070312,4716600,0.7538148134856335,0.0297108908087739,0.0120797388023301,-0.4935682681736599,-0.4082315959643627,-0.7380262681829148,-0.5466087107736458,1
2013-02-07,64.88552856445312,77.43000030517578,77.54000091552734,76.27999877929688,76.31999969482422,7773000,0.8123355380344458,0.0242970961317797,0.01176072445899,-0.3867708095173635,-0.4382178533118614,-0.8213492162032123,-0.5487792930108124,1
2013-02-08,64.1564712524414,76.55999755859375,77.38999938964844,76.27999877929688,77.23999786376953,5100400,0.7993867739625984,0.0242970961317797,0.0115217000706528,-0.4104016703154007,-0.4606853284290118,-0.8213492162032123,-0.5641454049825416,1
2013-02-11,63.5782585144043,75.87000274658203,76.44000244140625,75.8499984741211,76.41999816894531,3677100,0.8587940249882531,0.0242970961317797,0.0119175741773713,-0.3019863442200347,-0.4234745161596189,-0.8213492162032123,-0.5156033588609553,1
2013-02-12,63.678836822509766,75.98999786376953,76.25,75.83000183105469,76.05999755859375,3597400,0.8646182189643214,0.0242970961317797,0.0117436172130812,-0.2913574752140367,-0.4398258759260087,-0.8213492162032123,-0.5175108557810859,1
2013-02-13,63.0673713684082,74.77999877929688,75.83000183105469,74.62999725341797,75.66999816894531,4313500,0.8372984747281348,0.0242970961317797,0.0118519875815006,-0.3412146715843772,-0.429639431886397,-0.8213492162032123,-0.5307344398913288,1
2013-02-14,63.19390106201172,74.93000030517578,75.30999755859375,74.54000091552734,74.69000244140625,3830400,0.8637365357045556,0.0242970961317797,0.012037483392722,-0.2929665040189391,-0.412203459967611,-0.8213492162032123,-0.5088397267299208,1
2013-02-15,63.2782096862793,75.02999877929688,75.26000213623047,74.72000122070312,75.26000213623047,3650700,0.8668059298591492,0.0292082946439397,0.0123791427869259,-0.2873650098841276,-0.3800886452777072,-0.7457616546569604,-0.4710717699395984,1
2013-02-19,62.95772171020508,74.6500015258789,75.19000244140625,74.2699966430664,74.98999786376953,3882500,0.8814007315552472,0.0292082946439397,0.0123717760800138,-0.2607302109688174,-0.3807810905356758,-0.7457616546569604,-0.4624243187204845,1
2013-02-20,63.0673713684082,74.77999877929688,76.25,74.75,75.63999938964844,7551300,0.9976826767074308,0.0292082946439397,0.0121613140953257,-0.0485213511911902,-0.4005637973840467,-0.7457616546569604,-0.3982822677440658,2
2013-02-21,64.10474395751953,76.01000213623047,76.18000030517578,74.91000366210938,74.95999908447266,7438600,0.9466808023071948,0.0292082946439397,0.0122876678348626,-0.1415972762527397,-0.3886869779567364,-0.7457616546569604,-0.4253486362888121,1
2013-02-22,64.65290069580078,76.66000366210938,77.02999877929688,76.4800033569336,76.69999694824219,5391200,0.758858993039894,0.0292082946439397,0.0112813447662191,-0.4843628873183402,-0.4832779051079281,-0.7457616546569604,-0.5711341490277428,1
2013-02-25,63.2782096862793,75.02999877929688,76.9000015258789,75.02999877929688,76.83000183105469,4936300,0.7569424181680391,0.0292082946439397,0.0112648749589472,-0.4878605426740577,-0.4848260106700419,-0.7457616546569604,-0.5728160693336867,1
2013-02-26,63.80112075805664,75.6500015258789,75.91000366210938,75.13999938964844,75.43000030517578,3436700,0.5506847578552198,0.0292082946439397,0.0107538510544887,-0.8642706797602674,-0.5328605101517148,-0.7457616546569604,-0.7142976148563142,1
2013-02-27,65.24327850341797,77.36000061035156,77.93000030517578,75.52999877929688,75.52999877929688,7160000,0.5268613105569099,0.0292082946439397,0.0105842506771357,-0.907747305306308,-0.5488023656441436,-0.7457616546569604,-0.7341037752024707,1
2013-02-28,64.85531616210938,76.9000015258789,77.7300033569336,76.4000015258789,77.23999786376953,5593400,0.5186676027143281,0.0292082946439397,0.0105854396110424,-0.9227004211692192,-0.5486906099226856,-0.7457616546569604,-0.7390508952496218,1
2013-03-01,65.17581939697266,77.27999877929688,77.58999633789062,76.58000183105469,76.69999694824219,6024200,0.8164049150895466,0.0292082946439397,0.0117924306108835,-0.3793443955221556,-0.4352375834587164,-0.7457616546569604,-0.5201145445459441,1
2013-03-04,65.01554107666016,77.08999633789062,77.4000015258789,76.16999816894531,76.94999694824219,4748600,0.638086595417626,0.0292082946439397,0.0113800396303789,-0.7047666031186726,-0.4740009253816056,-0.7457616546569604,-0.6415097277190795,1
2013-03-05,66.33965301513672,78.66000366210938,78.8499984741211,77.11000061035156,77.44999694824219,5693200,0.6045411230732656,0.0292082946439397,0.011424290906818,-0.7659854486374859,-0.4698414567214661,-0.7457616546569604,-0.6605295200053041,1
2013-03-06,66.69387817382812,79.08000183105469,79.27999877929688,78.48999786376953,78.66999816894531,3826100,0.604027702726371,0.0311619343661788,0.0107681086285006,-0.7669224156469262,-0.5315203469509145,-0.7156934620603221,-0.6713787415527209,1
2013-03-07,68.35530853271484,81.05000305175781,81.94999694824219,79.37000274658203,79.37000274658203,10029900,0.676948625737888,0.0311619343661788,0.011344001342795,-0.6338452994535737,-0.4773884011751373,-0.7156934620603221,-0.6089757208963444,1
2013-03-08,68.50712585449219,81.2300033569336,81.69999694824219,80.72000122070312,81.16000366210938,5231700,0.6068143713765423,0.0311619343661788,0.0110861615539862,-0.7618368817228335,-0.5016244595939989,-0.7156934620603221,-0.6597182677923848,1
2013-03-11,69.94929504394531,82.94000244140625,83.02999877929688,80.95999908447266,81.01000213623047,5087300,0.66221124792509,0.0311619343661788,0.011067735041435,-0.6607402928050609,-0.5033564887610641,-0.7156934620603221,-0.6265967478754824,1
2013-03-12,70.97819519042969,84.16000366210938,84.62000274658203,83.0,83.0999984741211,6600800,0.6518995116230957,0.0311619343661788,0.0122307908611484,-0.6795587069630794,-0.3940332189849108,-0.7156934620603221,-0.5964284626694374,1
2013-03-13,71.4758071899414,84.75,84.8499984741211,83.5199966430664,84.37999725341797,7750900,0.6796942129823034,0.0311619343661788,0.012268742307013,-0.6288347370847137,-0.3904659128553794,-0.7156934620603221,-0.5783313706668051,1
2013-03-14,71.36617279052734,84.62000274658203,85.0999984741211,84.12999725341797,84.62000274658203,5027800,0.6876467333545984,0.0311619343661788,0.0119052821810459,-0.6143217765528406,-0.4246299217795317,-0.7156934620603221,-0.5848817201308981,1
2013-03-15,72.89266204833984,86.43000030517578,86.48999786376953,84.5,84.75,8205400,0.5874115640463204,0.0311619343661788,0.0117138315575267,-0.7972460556461168,-0.4426256256907678,-0.7156934620603221,-0.6518550477990689,1
2013-03-18,71.83843994140625,85.18000030517578,85.7699966430664,85.04000091552734,85.06999969482422,4803900,0.5868531377000443,0.0311619343661788,0.0118049177825997,-0.7982651564021108,-0.4340638320195054,-0.7156934620603221,-0.6493408168273127,1
2013-03-19,72.11676025390625,85.51000213623047,86.0,85.23999786376953,85.52999877929688,5381200,0.6034015363477655,0.0311619343661788,0.0118167038939655,-0.7680651386471395,-0.4329559778558311,-0.7156934620603221,-0.6389048595210975,1
