Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,14.214612007141112,14.550000190734863,14.93000030517578,14.380000114440918,14.770000457763672,6881000,2.2101301061081577,0.0793010318860477,0.0219039593229629,2.164135877725244,0.515211537300058,0.0252085779518551,0.9015186643257188,3
2013-01-03,14.400232315063477,14.739999771118164,14.8100004196167,14.510000228881836,14.529999732971191,3664600,2.274287423738883,0.0793010318860477,0.0220864169153801,2.2812198429357413,0.5323619270409804,0.0252085779518551,0.9462634493095256,3
2013-01-04,14.537006378173828,14.880000114440918,14.949999809265137,14.699999809265137,14.760000228881836,3348500,2.2579057195473955,0.0519030328398386,0.0218645798794086,2.2513240344063927,0.5115100042709877,-0.3964701495566885,0.7887879630402306,3
2013-01-07,14.116917610168455,14.449999809265137,14.600000381469728,14.260000228881836,14.260000228881836,3863300,1.66721164651093,0.0383298346461038,0.0194374935714828,1.173336256059387,0.2833721911806713,-0.6053733228469032,0.2837783747977184,3
2013-01-08,13.45258903503418,13.770000457763672,14.300000190734863,13.770000457763672,14.239999771118164,5110000,1.5796775194865778,0.0383298346461038,0.0192627466153464,1.0135907576231755,0.2669465748822474,-0.6053733228469032,0.2250546698861733,2
2013-01-09,13.384206771850586,13.699999809265137,13.850000381469728,13.56999969482422,13.779999732971191,3892500,1.4506994071124095,0.0383298346461038,0.0191018653390922,0.7782120139379706,0.2518242850765839,-0.6053733228469032,0.141554325389217,2
2013-01-10,13.677289009094238,14.0,14.010000228881836,13.75,13.800000190734863,3207900,1.2440296973068583,0.0383298346461038,0.0192158830596321,0.4010499066906999,0.2625415609033942,-0.6053733228469032,0.0194060482490636,2
2013-01-11,13.911758422851562,14.239999771118164,14.329999923706056,13.289999961853027,13.699999809265137,6496800,1.184072671885297,0.0383298346461038,0.0192436595171139,0.2916312692253908,0.2651524529201307,-0.6053733228469032,-0.0161965335671272,2
2013-01-14,14.097376823425291,14.43000030517578,14.5,14.149999618530272,14.229999542236328,4188700,1.207540752536655,0.0383298346461038,0.0194829354565551,0.3344593680302083,0.2876435729808331,-0.6053733228469032,0.005576539388046,2
2013-01-15,14.273229598999023,14.609999656677246,14.619999885559082,14.170000076293944,14.300000190734863,2535400,1.2550526115448084,0.0376710957193281,0.020822086593315,0.4211661857811519,0.4135192003699993,-0.6155118804815183,0.0730578352232109,2
2013-01-16,14.26345920562744,14.600000381469728,14.770000457763672,14.40999984741211,14.59000015258789,2529900,1.3434163204665557,0.0325607394627973,0.0210818957605866,0.58242563058546,0.4379403736297229,-0.6941646506978673,0.1087337845057718,2
2013-01-17,14.175535202026367,14.510000228881836,14.800000190734863,14.470000267028809,14.65999984741211,3157400,1.3596192417529416,0.0325607394627973,0.0209720833534027,0.6119951690615373,0.4276183828775569,-0.6941646506978673,0.1151496337470756,2
2013-01-18,14.126686096191406,14.460000038146973,14.720000267028809,14.399999618530272,14.539999961853027,3183700,1.3777064442641902,0.0325607394627973,0.0209387307276464,0.6450034285678242,0.42448335011172,-0.6941646506978673,0.1251073759938923,2
2013-01-22,14.097376823425291,14.43000030517578,14.489999771118164,14.3100004196167,14.460000038146973,3284800,1.3884305930251086,0.0325607394627973,0.0198312512682816,0.6645744752824433,0.3203840681550539,-0.6941646506978673,0.0969312975798766,2
2013-01-23,13.726139068603516,14.050000190734863,14.609999656677246,13.989999771118164,14.520000457763672,4998500,1.3907790323648537,0.0325607394627973,0.0198290896944945,0.6688602621592623,0.320180887610954,-0.6941646506978673,0.0982921663574497,2
2013-01-24,13.93129825592041,14.260000228881836,14.359999656677246,14.020000457763672,14.050000190734863,4638500,1.2774248603858558,0.0325607394627973,0.0193976283197661,0.4619944451554393,0.2796249938456431,-0.6941646506978673,0.0158182627677384,2
2013-01-25,14.429540634155272,14.770000457763672,14.920000076293944,14.3100004196167,14.3100004196167,3966000,1.335108810573696,0.0325607394627973,0.0197205635759836,0.5672648315495658,0.3099798035953565,-0.6941646506978673,0.0610266614823516,2
2013-01-28,14.693317413330078,15.039999961853027,15.100000381469728,14.649999618530272,14.979999542236328,8397100,1.3858124595314365,0.0325607394627973,0.0195291444944341,0.6597965097718849,0.2919870645214087,-0.6941646506978673,0.0858729745318087,2
