Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,31.630619049072266,35.03333282470703,35.040000915527344,34.41999816894531,34.93333435058594,705300,0.4840780446619073,0.0176725352626545,0.0065295728390167,-0.9858246720140929,-0.9299282167329628,-0.9233068954076036,-0.9463532613848864,0
2013-01-03,31.979745864868164,35.41999816894531,35.426666259765625,34.88666534423828,35.01333236694336,1110900,0.4528082796997311,0.0176725352626545,0.0064906831588238,-1.04289046291958,-0.9335837136808944,-0.9233068954076036,-0.9665936906693592,0
2013-01-04,32.178367614746094,35.63999938964844,35.793331146240234,35.38666534423828,35.38666534423828,833550,0.5115517886046802,0.0176725352626545,0.0066372419179253,-0.9356864337150332,-0.9198076915091816,-0.9233068954076036,-0.9262670068772728,0
2013-01-07,32.220516204833984,35.686668395996094,35.71333312988281,35.2400016784668,35.413333892822266,667500,0.6260461631752224,0.0176725352626545,0.0070139886555447,-0.7267398027761627,-0.8843947865256523,-0.9233068954076036,-0.8448138282364729,1
2013-01-08,31.931596755981445,35.366668701171875,35.59333419799805,35.246665954589844,35.526668548583984,1071450,0.6416472887050211,0.0181560607265775,0.0070849219286406,-0.6982685121076643,-0.8777273014236222,-0.915865023393478,-0.8306202789749213,1
2013-01-09,31.9195613861084,35.35333251953125,35.65999984741211,35.31999969482422,35.34000015258789,1060200,0.6670201033541341,0.0181560607265775,0.0071613826289566,-0.651964366962942,-0.8705402570649263,-0.915865023393478,-0.812789882473782,1
2013-01-10,32.04594802856445,35.49333190917969,35.599998474121094,34.78666687011719,34.78666687011719,1386000,0.8112545741959444,0.0304952244000225,0.0082262103715053,-0.3887435156268891,-0.7704500906338174,-0.7259547008344344,-0.6283827690317136,1
2013-01-11,32.172359466552734,35.633331298828125,35.686668395996094,35.2599983215332,35.62666702270508,883350,0.813715554218272,0.0304952244000225,0.0082743603840974,-0.3842523475114075,-0.7659241541077199,-0.7259547008344344,-0.6253770674845206,1
2013-01-14,32.21449279785156,35.68000030517578,35.813331604003906,35.43333435058594,35.64666748046875,857850,0.8405039455044668,0.0304952244000225,0.0085952060853563,-0.3353648442736482,-0.735765755378509,-0.7259547008344344,-0.5990284334955305,1
2013-01-15,32.16632843017578,35.62666702270508,35.6533317565918,35.366668701171875,35.5,565800,0.8393082692035632,0.0304952244000225,0.0085941015901149,-0.3375468950137337,-0.7358695741541821,-0.7259547008344344,-0.5997903900007834,1
2013-01-16,32.24458694458008,35.71333312988281,35.75333404541016,35.3466682434082,35.52000045776367,668550,0.8555983273104181,0.0304952244000225,0.0085923264853071,-0.307818336104242,-0.7360364279358277,-0.7259547008344344,-0.5899364882915014,1
2013-01-17,32.268646240234375,35.7400016784668,36.02000045776367,35.706668853759766,35.76666641235352,804300,0.8650455333823214,0.0304952244000225,0.008660634827305,-0.2905776473113333,-0.7296156773805892,-0.7259547008344344,-0.5820493418421189,1
2013-01-18,32.35893249511719,35.84000015258789,35.880001068115234,35.54666519165039,35.80666732788086,591600,0.8629619902392814,0.0304952244000225,0.0086402893037443,-0.2943800115915604,-0.7315280870201467,-0.7259547008344344,-0.5839542664820472,1
2013-01-22,32.762229919433594,36.28666687011719,36.29333114624024,35.75333404541016,35.84000015258789,736650,0.863575275972145,0.0304952244000225,0.0086917507788266,-0.2932607951395262,-0.7266908843441071,-0.7259547008344344,-0.5819687934393559,1
2013-01-23,32.76824951171875,36.29333114624024,36.32666778564453,36.06666564941406,36.16666793823242,518100,0.8782057502718051,0.0304952244000225,0.0080116943249774,-0.2665608954683136,-0.7906138654315416,-0.7259547008344344,-0.5943764872447631,1
2013-01-24,33.41230010986328,37.00666809082031,37.18000030517578,36.560001373291016,36.560001373291016,1318650,0.8742928489360688,0.0304952244000225,0.0079683541363093,-0.2737017489326432,-0.7946876949568344,-0.7259547008344344,-0.5981147149079706,1
2013-01-25,33.69520568847656,37.31999969482422,37.40666580200195,36.71333312988281,37.220001220703125,1442400,0.8692474309547412,0.0304952244000225,0.0079114979488413,-0.2829093898567593,-0.8000319821489481,-0.7259547008344344,-0.6029653576133805,1
2013-01-28,33.49657440185547,37.09999847412109,37.34000015258789,36.90666580200195,37.31999969482422,1244850,0.8812813727908632,0.0304952244000225,0.0079145111481033,-0.2609480348731325,-0.7997487517224927,-0.7259547008344344,-0.5955504958100198,1
2013-01-29,33.502586364746094,37.106666564941406,37.17333221435547,36.9466667175293,37.09999847412109,1117350,0.8856562137765329,0.0304952244000225,0.0080455579655373,-0.2529641641521672,-0.7874307990216725,-0.7259547008344344,-0.5887832213360914,1
2013-01-30,33.454429626464844,37.0533332824707,37.133331298828125,36.8466682434082,37.06666564941406,597600,0.8890936799324884,0.0304952244000225,0.0080519020862886,-0.2466909566260562,-0.7868344733659032,-0.7259547008344344,-0.5864933769421312,1
