Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Alpha_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,31.630619049072266,35.03333282470703,35.040000915527344,34.41999816894531,34.93333435058594,705300,0.4840780446619073,0.0584572743553751,0.0330457395042681,0.0065295728390167,-0.8581698865658705,-0.9199875204813835,-0.5549419465548474,-0.1999090571053801,1
2013-01-03,31.979745864868164,35.41999816894531,35.426666259765625,34.88666534423828,35.01333236694336,1110900,0.4528082796997311,0.0599658453222976,0.0349473071978974,0.0064906831588238,-0.911215448590053,-0.9236754602086648,-0.5434752059387189,-0.1796342694677035,1
2013-01-04,32.178367614746094,35.63999938964844,35.793331146240234,35.38666534423828,35.38666534423828,833550,0.5115517886046802,0.0697714968524431,0.0355901317810121,0.0066372419179253,-0.8115638378758441,-0.9097771749208852,-0.4689418461341756,-0.1833742580083321,1
2013-01-07,32.220516204833984,35.686668395996094,35.71333312988281,35.2400016784668,35.413333892822266,667500,0.6260461631752224,0.0697714968524431,0.0305342521648433,0.0070139886555447,-0.6173372917202188,-0.874049978042476,-0.4689418461341756,-0.2362073744340708,1
2013-01-08,31.931596755981445,35.366668701171875,35.59333419799805,35.246665954589844,35.526668548583984,1071450,0.6416472887050211,0.0697714968524431,0.0321457821374487,0.0070849219286406,-0.5908717754958718,-0.867323318565235,-0.4689418461341756,-0.2427869933497729,1
2013-01-09,31.9195613861084,35.35333251953125,35.65999984741211,35.31999969482422,35.34000015258789,1060200,0.6670201033541341,0.0655524040809684,0.0345619238775034,0.0071613826289566,-0.5478297118658566,-0.8600724887082545,-0.5010114295390435,-0.2654072657424071,1
2013-01-10,32.04594802856445,35.49333190917969,35.599998474121094,34.78666687011719,34.78666687011719,1386000,0.8112545741959444,0.061564643195556,0.0202800151740201,0.0082262103715053,-0.3031525107957815,-0.7590940153709171,-0.5313226450633949,-0.3234105801614368,0
2013-01-11,32.172359466552734,35.633331298828125,35.686668395996094,35.2599983215332,35.62666702270508,883350,0.813715554218272,0.061564643195556,0.0190910407612533,0.0082743603840974,-0.2989777410598221,-0.7545279108561286,-0.5313226450633949,-0.3232801352351604,0
2013-01-14,32.21449279785156,35.68000030517578,35.813331604003906,35.43333435058594,35.64666748046875,857850,0.8405039455044668,0.061564643195556,0.0248472677668541,0.0085952060853563,-0.2535343143753313,-0.7241018543256852,-0.5313226450633949,-0.3282859252865096,0
2013-01-15,32.16632843017578,35.62666702270508,35.6533317565918,35.366668701171875,35.5,565800,0.8393082692035632,0.0589881961142708,0.024931519945938,0.0085941015901149,-0.2555626417854397,-0.7242065944999203,-0.5509063776421463,-0.3341726404008023,0
