Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Alpha_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,164.2209930419922,215.009994506836,215.5500030517578,210.3500061035156,211.22999572753903,1086000,1.347503328939844,0.0654848012574281,0.008246566538637,0.0169723651552977,0.6065318636971455,0.0703108943147583,-0.5015252827547367,0.0527616887009823,2
2013-01-03,162.0060272216797,212.1100006103516,216.4100036621093,211.6199951171875,213.9600067138672,629100,1.319240751923359,0.060933188417989,-0.0048850458640278,0.016872549799716,0.5585876503682442,0.0608453236693703,-0.5361223716284281,0.0220927310849887,2
2013-01-04,164.41189575195312,215.259994506836,215.6499938964844,212.1000061035156,212.3600006103516,701800,1.2401891072606213,0.060933188417989,-0.0480522898236011,0.0169094177113392,0.4244856216148098,0.064341537453147,-0.5361223716284281,-0.0214425405715637,2
2013-01-07,167.10047912597656,218.77999877929688,219.1000061035156,212.0500030517578,213.0,620900,1.317121472109366,0.060933188417989,-0.0476111617344325,0.0172746501997197,0.5549925357597479,0.0989768287929321,-0.5361223716284281,0.0336048612566773,2
2013-01-08,164.373779296875,215.2100067138672,218.67999267578125,213.6199951171875,218.67999267578125,671400,1.2750372451519147,0.060933188417989,-0.0536956286729254,0.0171722344208386,0.4836014820050576,0.0892646579094854,-0.5361223716284281,0.0065704530439649,2
2013-01-09,166.3824920654297,217.83999633789065,219.8500061035156,214.0800018310547,214.0800018310547,490400,1.2606001392080164,0.060933188417989,-0.0536095959328665,0.0171741970151706,0.4591105912125272,0.0894507723123195,-0.5361223716284281,-0.0015311390859338,2
2013-01-10,166.33663940429688,217.77999877929688,219.9100036621093,213.7899932861328,219.9100036621093,667900,1.1676394738753613,0.0753196588404583,-0.0471995391532426,0.0175116448529275,0.3014135076342744,0.1214512228322484,-0.4267699259476045,-0.0069792015451005,2
2013-01-11,166.29083251953125,217.72000122070312,218.13999938964844,215.4600067138672,217.2100067138672,520100,1.1983986785829908,0.0753196588404583,-0.0350403395107933,0.0176777276424722,0.3535929628718404,0.1372009876680977,-0.4267699259476045,0.0156638718127045,2
2013-01-14,165.00765991210938,216.0399932861328,218.1699981689453,214.3999938964844,217.6199951171875,607200,1.0591212619220125,0.0753196588404583,-0.0504001029991857,0.0176648629009575,0.1173248344418897,0.1359810138581323,-0.4267699259476045,-0.0634988289339341,1
2013-01-15,165.5805206298828,216.7899932861328,217.47999572753903,214.72000122070312,215.7899932861328,618000,1.0628274318774142,0.0753196588404583,-0.0530726761822904,0.0176862547512296,0.1236119257736994,0.138009620266496,-0.4267699259476045,-0.0607269296872097,1
