Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Alpha_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,43.3714599609375,68.58000183105469,69.33000183105469,68.38999938964844,69.19000244140625,429700,0.5017284587907425,0.03727600387514,-0.0080626273822047,0.0063108556823417,-0.8282279877842151,-0.9407286447883648,-0.7159420849920823,-0.2704701109473373,1
2013-01-03,43.32719421386719,68.51000213623047,69.5999984741211,68.30999755859375,68.72000122070312,512600,0.4479722593984651,0.03727600387514,-0.0012210885778547,0.0063710931570186,-0.9194192011654658,-0.9350162764986256,-0.7159420849920823,-0.2381689170570073,1
2013-01-04,43.56751251220703,68.88999938964844,69.0199966430664,68.41000366210938,68.63999938964844,383900,0.5733379991164729,0.03727600387514,-0.0063071174681055,0.0065970684109751,-0.7067506336222489,-0.9135868609746394,-0.7159420849920823,-0.3019153010634176,1
2013-01-07,43.78886413574219,69.23999786376953,69.30999755859375,68.5999984741211,68.73999786376953,316100,0.2258717367446204,0.0488699101607701,0.0280100666994835,0.0068017253794538,-1.2961872089931117,-0.8941790756502618,-0.6278160909089333,-0.0695918494706211,1
2013-01-08,43.60545349121094,68.94999694824219,69.55999755859375,68.61000061035156,69.25,287400,0.3400106404590469,0.0488699101607701,0.0130869250465963,0.0072907654212616,-1.1025636782860735,-0.8478030141998147,-0.6278160909089333,-0.1186743392228181,1
2013-01-09,43.62442779541016,68.9800033569336,69.37999725341797,68.8499984741211,69.18000030517578,381400,0.3963497160684293,0.0488699101607701,0.0183181654087963,0.0073220678099238,-1.0069909122855127,-0.8448345834456016,-0.6278160909089333,-0.1495424509716006,1
2013-01-10,43.54854583740234,68.86000061035156,68.88999938964844,68.02999877929688,68.72000122070312,799800,0.5215304299439028,0.0488699101607701,0.0072689571596345,0.0078664422442954,-0.7946362198167679,-0.7932111169352832,-0.6278160909089333,-0.2031195262910761,1
2013-01-11,43.64341354370117,69.01000213623047,69.18000030517578,68.37999725341797,68.80999755859375,363600,0.5313188962286204,0.0488699101607701,0.0058053366303504,0.0079007063719955,-0.7780312118784073,-0.7899618220802203,-0.6278160909089333,-0.2075714306521753,1
2013-01-14,43.75092315673828,69.18000030517578,69.31999969482422,68.94999694824219,69.0199966430664,232600,0.4779141578543963,0.0488699101607701,-0.0076150915779441,0.0077102590919561,-0.868626212040442,-0.8080220911934168,-0.6278160909089333,-0.1833931869692293,1
2013-01-15,44.16830062866211,69.83999633789062,69.87999725341797,68.91000366210938,69.37000274658203,412000,0.4982309285081049,0.0488699101607701,-0.0218663544432368,0.0083050071992157,-0.8341611458928073,-0.751621648669636,-0.6278160909089333,-0.1760813948438472,1
