Date,Adj Close,Close,High,Low,Open,Volume,Beta_30D,MD_30D,Alpha_30D,Volatility_30D,Beta_30D_norm,Volatility_30D_norm,MD_30D_norm,Composite_Score,Risk_Label
2013-01-02,22.99807548522949,27.280000686645508,27.290000915527344,26.89999961853028,27.21500015258789,1206800,0.656431721352838,0.0940685484086754,0.0557506169617782,0.0068112244024809,-0.5657916848728453,-0.8932782756380673,-0.2842584642841453,-0.1982375486317157,1
2013-01-03,23.16668510437012,27.479999542236328,27.63500022888184,27.040000915527344,27.21500015258789,1731200,0.6087268679608928,0.0877026088969772,0.064959135556475,0.0069058542507404,-0.6467174853231485,-0.8843044508328302,-0.3326463616778761,-0.1844003060111125,1
2013-01-04,23.32685852050781,27.670000076293945,27.71500015258789,27.375,27.48500061035156,1688800,0.6274602015858456,0.0976929838878246,0.0680354333606546,0.0069682740542206,-0.6149385380901222,-0.8783851305431835,-0.25670890749791,-0.1677076969322503,1
2013-01-07,23.314218521118164,27.655000686645508,27.84499931335449,27.489999771118164,27.584999084472656,2403200,0.6937708283310382,0.0890297405922207,0.0535024209685267,0.006989945238633,-0.5024501817456066,-0.8763300346530838,-0.3225587521146053,-0.226468731955954,1
2013-01-08,23.57134056091309,27.959999084472656,27.9950008392334,27.59499931335449,27.59499931335449,1783000,0.6598665854130472,0.0890297405922207,0.0668734188625501,0.0069086719290968,-0.5599648328075721,-0.8840372481225551,-0.3225587521146053,-0.209866252758456,1
2013-01-09,23.50389862060547,27.8799991607666,28.145000457763672,27.825000762939453,27.96999931335449,1493000,0.8307443614133554,0.1074118780884242,0.0828651468363041,0.007569338374479,-0.2700903269920391,-0.8213857164483147,-0.1828349954861878,-0.2390326585960811,1
2013-01-10,23.49968338012696,27.875,28.125,27.76499938964844,28.0049991607666,1641400,0.7209054311290788,0.1044401648632605,0.0905744461662382,0.0077545321059045,-0.4564194470257879,-0.8038236455858188,-0.2054231703123187,-0.1785983199060432,1
2013-01-11,23.56291389465332,27.950000762939453,28.01000022888184,27.739999771118164,27.739999771118164,1443200,0.7208275021173605,0.101953162783895,0.0876910683973598,0.0077770277856787,-0.4565516446367897,-0.8016903621358148,-0.2243270259353877,-0.1841444447600642,1
2013-01-14,23.672510147094727,28.07999992370605,28.170000076293945,27.93000030517578,27.9950008392334,1359200,0.6745290949325387,0.1092970561421055,0.0863200555385147,0.0077918088949124,-0.5350915707575647,-0.8002886576299959,-0.1685056412623822,-0.1388901063268644,1
2013-01-15,23.70623016357422,28.1200008392334,28.20499992370605,27.950000762939453,27.95499992370605,1296600,0.6736313629033058,0.1098343374550984,0.0905782373682147,0.0077241156904445,-0.5366144699573305,-0.8067080587869564,-0.1644217329882155,-0.1391609708878737,1
2013-01-16,23.64299964904785,28.045000076293945,28.15999984741211,27.940000534057617,28.09499931335449,1088400,0.6415131734216437,0.0971201870968055,0.0706867822884326,0.0079299638485569,-0.5910992866585362,-0.7871873119892251,-0.2610627711028591,-0.1467061290931092,1
2013-01-17,23.916990280151367,28.3700008392334,28.450000762939453,28.09000015258789,28.165000915527344,1269400,0.6318063751933133,0.0961543180956205,0.0671319119866088,0.0079258265362209,-0.6075657541263905,-0.7875796566537331,-0.2684044007302285,-0.1437952980344503,1
2013-01-18,24.026588439941406,28.5,28.5049991607666,28.145000457763672,28.34499931335449,868200,0.6085436939833503,0.0961543180956205,0.0696183708329984,0.0078361873282806,-0.6470282189215207,-0.7960802150138244,-0.2684044007302285,-0.133474662556104,1
2013-01-22,23.938064575195312,28.395000457763672,28.46500015258789,28.15999984741211,28.46500015258789,1518200,0.6089820775669722,0.0942275860110672,0.0594787506759628,0.0080859764143845,-0.64628455156094,-0.7723925145875303,-0.2830496096960459,-0.1307083878561387,1
2013-01-23,23.98021507263184,28.44499969482422,28.489999771118164,28.270000457763672,28.334999084472656,749600,0.6076135646884536,0.0907759815539135,0.0530485658437264,0.0081269721734219,-0.6486060763586531,-0.7685048537054111,-0.3092854672642155,-0.1373839451522511,1
2013-01-24,24.05609703063965,28.53499984741211,28.795000076293945,28.325000762939453,28.625,1405000,0.6081866093765285,0.0892494132422339,0.0521301556014816,0.008137711882048,-0.6476339719126916,-0.7674863984775677,-0.3208890068037183,-0.1412363414047914,1
